London,2014-04-21,broken clouds
London,2014-04-22,moderate rain
London,2014-04-23,sky is clear
London,2014-04-24,broken clouds
London,2014-04-25,moderate rain
London,2014-04-26,moderate rain
London,2014-04-27,light rain
Prague,2014-04-21,scattered clouds
Prague,2014-04-22,moderate rain
Prague,2014-04-23,light rain
Prague,2014-04-24,light rain
Prague,2014-04-25,moderate rain
Prague,2014-04-26,light rain
Prague,2014-04-27,light rain
Brussels,2014-04-21,light rain
Brussels,2014-04-22,moderate rain
Brussels,2014-04-23,sky is clear
Brussels,2014-04-24,moderate rain
Brussels,2014-04-25,moderate rain
Brussels,2014-04-26,moderate rain
Brussels,2014-04-27,heavy intensity rain
Cologne,2014-04-21,light rain
Cologne,2014-04-22,light rain
Cologne,2014-04-23,few clouds
Cologne,2014-04-24,light rain
Cologne,2014-04-25,moderate rain
Cologne,2014-04-26,light rain
Cologne,2014-04-27,moderate rain
Copenhagen,2014-04-21,overcast clouds
Copenhagen,2014-04-22,broken clouds
Copenhagen,2014-04-23,scattered clouds
Copenhagen,2014-04-24,sky is clear
Copenhagen,2014-04-25,sky is clear
Copenhagen,2014-04-26,sky is clear
Copenhagen,2014-04-27,sky is clear
Helsinki,2014-04-21,sky is clear
Helsinki,2014-04-22,sky is clear
Helsinki,2014-04-23,sky is clear
Helsinki,2014-04-24,sky is clear
Helsinki,2014-04-25,sky is clear
Helsinki,2014-04-26,sky is clear
Helsinki,2014-04-27,sky is clear
Rotterdam,2014-04-21,light rain
Rotterdam,2014-04-22,light rain
Rotterdam,2014-04-23,sky is clear
Rotterdam,2014-04-24,moderate rain
Rotterdam,2014-04-25,light rain
Rotterdam,2014-04-26,moderate rain
Rotterdam,2014-04-27,moderate rain
Bilbo,2014-04-21,broken clouds
Bilbo,2014-04-22,moderate rain
Bilbo,2014-04-23,moderate rain
Bilbo,2014-04-24,few clouds
Bilbo,2014-04-25,heavy intensity rain
Bilbo,2014-04-26,light rain
Bilbo,2014-04-27,light rain
Stockholm,2014-04-21,sky is clear
Stockholm,2014-04-22,sky is clear
Stockholm,2014-04-23,sky is clear
Stockholm,2014-04-24,sky is clear
Stockholm,2014-04-25,sky is clear
Stockholm,2014-04-26,sky is clear
Stockholm,2014-04-27,sky is clear
Athens,2014-04-21,few clouds
Athens,2014-04-22,light rain
Athens,2014-04-23,sky is clear
Athens,2014-04-24,sky is clear
Athens,2014-04-25,light rain
Athens,2014-04-26,light rain
Athens,2014-04-27,sky is clear
Rome,2014-04-21,few clouds
Rome,2014-04-22,broken clouds
Rome,2014-04-23,sky is clear
Rome,2014-04-24,sky is clear
Rome,2014-04-25,sky is clear
Rome,2014-04-26,sky is clear
Rome,2014-04-27,sky is clear
Istanbul,2014-04-21,sky is clear
Istanbul,2014-04-22,sky is clear
Istanbul,2014-04-23,light rain
Istanbul,2014-04-24,heavy intensity rain
Istanbul,2014-04-25,light rain
Istanbul,2014-04-26,light rain
Istanbul,2014-04-27,sky is clear
Leipzig,2014-04-21,scattered clouds
Leipzig,2014-04-22,light rain
Leipzig,2014-04-23,few clouds
Leipzig,2014-04-24,moderate rain
Leipzig,2014-04-25,broken clouds
Leipzig,2014-04-26,light rain
Leipzig,2014-04-27,light rain
Lyon,2014-04-21,light rain
Lyon,2014-04-22,light rain
Lyon,2014-04-23,light rain
Lyon,2014-04-24,light rain
Lyon,2014-04-25,light rain
Lyon,2014-04-26,light rain
Lyon,2014-04-27,heavy intensity rain
Amsterdam,2014-04-21,light rain
Amsterdam,2014-04-22,scattered clouds
Amsterdam,2014-04-23,moderate rain
Amsterdam,2014-04-24,light rain
Amsterdam,2014-04-25,heavy intensity rain
Amsterdam,2014-04-26,moderate rain
Amsterdam,2014-04-27,moderate rain
Cardiff,2014-04-21,scattered clouds
Cardiff,2014-04-22,light rain
Cardiff,2014-04-23,moderate rain
Cardiff,2014-04-24,light rain
Cardiff,2014-04-25,few clouds
Cardiff,2014-04-26,moderate rain
